Model name,input_node,output_node
SqueezeNet-v1.1,input_1,loss/Softmax
DenseNet-121,input_1,fc1000/Softmax
DenseNet-161,input_1,DenseNet/dense_1/truediv
DenseNet-169,input_1,fc1000/Softmax
DenseNet-201,input_1,fc1000/Softmax
DenseNet-264,input_1,DenseNet/dense_1/truediv
DPN-92,input_1,dense_1/Softmax
DPN-98,input_1,dense_1/Softmax
DPN-107,input_1,dense_1/Softmax
DPN-137,input_1,dense_1/Softmax
Inception-v1,input_1,Predictions/Softmax
Inception-v3,input_1,predictions/Softmax
Xception,input_1,predictions/Softmax
InceptionResNetV2,input_1,predictions/Softmax
MobileNet0.25-v1,input_1,act_softmax/Softmax
MobileNet0.5-v1,input_1,act_softmax/Softmax
MobileNet0.75-v1,input_1,act_softmax/Softmax
MobileNet1.0-v1,input_1,act_softmax/Softmax
MobileNet0.35-v2,input_1,Logits/Softmax
MobileNet0.5-v2,input_1,Logits/Softmax
MobileNet0.75-v2,input_1,Logits/Softmax
MobileNet1.0-v2,input_1,Logits/Softmax
MobileNet1.3-v2,input_1,Logits/Softmax
MobileNet1.4-v2,input_1,Logits/Softmax
MobileNet-small-v3,input_1,reshape_11/Reshape
MobileNet-large-v3,input_1,reshape_10/Reshape
ResNet-18,input_1,softmax/Softmax
ResNet-34,input_1,softmax/Softmax
ResNet-50,input_1,fc1000/Softmax
ResNet-101,input_1,probs/Softmax
ResNet-152,input_1,probs/Softmax
ResNet-50V2,input_1,probs/Softmax
ResNet-101V2,input_1,probs/Softmax
ResNet-152V2,input_1,probs/Softmax
ResNext-50,input_1,softmax/Softmax
ResNext-101,input_1,softmax/Softmax
SEResNet-18,input_1,softmax/Softmax
SEResNet-34,input_1,softmax/Softmax
SEResNet-50,input_1,output/Softmax
SEResNet-101,input_1,output/Softmax
SEResNet-152,input_1,output/Softmax
SEResNext-50,input_1,output/Softmax
SEResNext-101,input_1,output/Softmax
EfficientNet-B0,input_1,probs/Softmax
MNASNet0.5,input_1,dense/Softmax
MNASNet0.35,input_1,dense/Softmax
MNASNet0.75,input_1,dense/Softmax
MNASNet1.0,input_1,dense/Softmax
MNASNet1.4,input_1,dense/Softmax
EfficientNet-B1,input_1,probs/Softmax
EfficientNet-B2,input_1,probs/Softmax
EfficientNet-B3,input_1,probs/Softmax
EfficientNet-B4,input_1,probs/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-20,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-32,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-44,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-56,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-110,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-164,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-20V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-56V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-110V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ResNet-164V2,input_1,dense_1/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet0.5-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.0-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet1.5-v1,input_1,softmax/Softmax
ShuffleNet2.0-v1,input_1,softmax/Softmax
ShuffleNet2.0-v1,input_1,softmax/Softmax
ShuffleNet2.0-v1,input_1,softmax/Softmax
ShuffleNet2.0-v1,input_1,softmax/Softmax
ShuffleNet2.0-v1,input_1,softmax/Softmax
ShuffleNet2.0-v1,input_1,softmax/Softmax
ShuffleNet2.0-v1,input_1,softmax/Softmax
ShuffleNet2.0-v1,input_1,softmax/Softmax
